Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,6/30/09,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Partly Cloudy,CAPTIVA  DREAMIN,LAVERN A. BOWMAN, ,Captiva Dreamin-Tr. Lavern Bowman-reared in gate-head laceration-back in training, 
2009,9/21/09,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,SIR JUSTIN,JAMES T. WRIGHT, ,Sir Justin-Tr. James Wright-reared at start-unseated rider-no injuries to jockey or horse,Accident
2009,11/26/09,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),After start of 2nd.race.,Racing,Thoroughbred,Cloudy,Saumon Fume,PATRICK J. QUICK, ,Saumon Fume-Tr. Patrick Quick-stumbled and unseated rider-both horse and rider were unhurt,Accident
2009,11/5/09,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,ROSCOMMON EXPRESS,STEPHEN T. O'CONNOR, ,Roscommon Express-Tr. Stephen O'Connor-lunged at start-unseated jockey-no injuries reportd,Accident
2009,11/13/09,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,DEVILISH DEAL,RALPH D'ALESSANDRO, ,Devilish Deal-Tr. R. D'Alessandro-Stumbled at start-unseated rider-no injuries reported, 
2010,5/17/10,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting Gate,Racing,Thoroughbred,Overcast,FREUD IAN THEORY,MICHAEL A. LECESSE, ,Freud Ian Theory-Tr. Michael Lecesse-stumbled unseating rider-no injuries reported,Accident
2010,11/13/10,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting Gate,Racing,Thoroughbred, ,WESTERN DEED,RALPH D'ALESSANDRO,JOSE  (DAVID) D. OSORIO,Western Deed-Tr. Ralph D'Alessandro-stumbled unseating rider-no injuries reported,Accident
2010,7/15/10,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting Gate,Racing,Thoroughbred,Overcast,RASCAL PICK,JOSEPH J. RAPOSA, ,Rascal Pick-Tr. Joseph Raposa-fractious gate-minor injuries-scratched-horse fine,Injury
2011,4/8/11,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),Starting Gate,Racing,Thoroughbred,Cloudy 43*,Deflate the Bubble,RICHARD A. VIOLETTE JR,JOSE A. VALDIVIA,Deflate the Bubble-Tr. Richard Violette-kicked after another horse flipped-both horses scratched-LF superficial scraps-treated and fine,Accident
2011,5/3/11,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting gate,Racing,Thoroughbred, ,FLORIDIAN MAK,BRYAN R. ARMSTRONG,OSCAR D. GOMEZ,Floridian Mak-Tr.  Brian Armstrong-broke through gate unseating rider-no injuries reported,Accident
2011,5/15/11,ACCIDENT - IN STARTING GATE,Belmont Park (NYRA),Starting gate,Racing,Thoroughbred,60* Showers,Caught My Heart,SETH P. BENZEL,ALEX O. SOLIS,Caught My Heart-Tr. Seth Benzel-unseated rider-vanned off-bruised R hip-horse ok-no injury to rider,Injury
2011,4/8/11,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),Starting gate,Racing,Thoroughbred,48* Cloudy,A Wink and a Smile,KELLY J. BREEN,DAVID COHEN,A Wink and a Smile- Tr. Kelly Breen-flipped in gate-kicked another horse-both horses scratched-horse sustained superficial wounds-treated & given 3 days off,Accident
2011,7/30/11,ACCIDENT - IN STARTING GATE,Saratoga Racecourse (NYRA),Main Track/Starting Gate,Racing,Thoroughbred,Sunny 80-85*,Tinto,TAMZEN T. JOHNSON,JAIME RODRIGUEZ,Zeppe-Tr. Richard Demola-reared & fell kicking Tinto-Tr. Tamzen Johnson-both horses scratched,Accident
2011,10/15/11,ACCIDENT - IN STARTING GATE,Belmont Park (NYRA),Gate,Racing,Thoroughbred, ,Concorde County,BRUCE F. ALEXANDER,EDDIE CASTRO,Concorde County-Tr. Bruce Alexander-flipped in gate-scratched-light trauma/soreness,Accident
2011,11/4/11,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),"Main Track, Starting gate",Racing,Thoroughbred,Clear 50 to 55 : degrees F,Recurring Dream,CARLOS F. MARTIN,ARIEL E. SMITH,Recurring Dream -Tr. Carlos Martin- flipped in gate-scratched-walked off track-no injuries reported,Accident
2012,5/22/12,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,"Main Track, Gate",Racing,Thoroughbred,,Call Tiger,JAMES G. KETTELL,EMANUEL DE DIEGO,Call Tiger-Tr. James Kettell-horse's head trapped between bars & started late-declared non-starter-no injuries reported,Accident
2012,2/16/12,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),"Inner Track, Starting gate",Racing,Thoroughbred,Rain 40 to 45 : degrees F,Zippy Kitty,ASSAF RONEN,DENNIS CARR,Zippy Kitty-Tr. Assaf Ronen-flipped in gate-scratched-no injuries reported,Steward's List
2012,2/11/12,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),"Inner Track, Starting gate",Racing,Thoroughbred,Cloudy 30 to 40 : degrees F,King Kreesa,JEREMIAH C. ENGLEHART,MICHAEL J. LUZZI,King Kreesa-Tr. Chris Englehart-reared in gate-getting momentarily caught-scratched-sustained minor scrapes,Injury
2011,10/1/11,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting gate/finish line,Racing,Thoroughbred, ,ZOW,TODD A. PLETCHER,ELVIS R. TRUJILLO,Zow-Tr. Todd Pletcher-stumbled unseating rider-flipped over rail-cuts L rear leg-shipped to Cornell for further care,Accident
2011,10/15/11,ACCIDENT - IN STARTING GATE,Belmont Park (NYRA),Starting Gate,Racing,Thoroughbred,Partly cloudy,Pernice,WILLIAM H. TURNER,JOSE L. ESPINOZA,Pernice-Tr. William Turner  Jr.-startled-broke through gate-scratched-no injuries reported,Accident
2011,11/15/11,ACCIDENT - IN STARTING GATE,Belmont Park (NYRA),Gate,Racing,Thoroughbred, ,Pernice,WILLIAM H. TURNER,JOSE L. ESPINOZA,Concorde County-Tr. Bruce Alexander-flipped in gate-scratched-light trauma/soreness,Accident
2013,11/3/13,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),Starting Gate,Racing,Thoroughbred, ,Sinistra,KARL M. GRUSMARK,MICHAEL J. LUZZI,Sinistra-Tr. Karl Grusmark-flipped in gate unseating  jockey-scratched-walk off track-, 
2010,4/15/10,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),3/8 pole on turf course,Racing,Thoroughbred,*70,Mount Karakouram,JEFFREY K. ODINTZ, ,Mount Karakouram-Tr. Jeffrey Odintz-fell over another horse unseating rider-body soreness-horse ok after few days-rider uninjured,Accident
2009,11/22/09,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),Leaving the starting gate.,Racing,Thoroughbred, ,Ship of Fools,LUIS A. CHIARI, ,Ship of Fools-Tr. Luis Chiari-struck by another horse-unseated rider-horse OK & resting at farm-jockey treated & released, 
2010,7/6/10,ACCIDENT - ON TRACK,Finger Lakes Gaming & Racetrack,1/2 pole,Racing,Thoroughbred,Sunny,BARCO,JOSE A. CABRERA,CHARLIE AMARO,Barco-Tr.Jose Cabrera-fell over fallen horse-jockey bruised-horse suffered no injuries,Accident
2010,7/6/10,ACCIDENT - ON TRACK,Finger Lakes Gaming & Racetrack,1/2 Pole,Racing,Thoroughbred,Sunny,ONE LITTLE SECRET,GLENN I. BURNETT,JOSE A. GUTIERREZ,One Little Secret-Tr. Glenn Burnett-fell over fallen horse-jockey suffered sprained wrist-horse uninjured,Accident
2011,2/13/11,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred,Clear 40*,Soft Parade,DANIEL H. CONWAY JR,NAZARIO A. ALVARADO,Soft Parade-Tr. Daniel H. Conway  Jr.-struck a fallen foe unseating rider-minor scratches-horse fine-rider uninjured,Accident
