"","country","year","ISO2","ISO3","region","subregionid","cap.lat","cap.long","Reg.Market","Unreg.Market","Reg.Market.Bordering","Unreg.Market.Bordering","Armed.Conflict","Non.State.Conflict","High.Illegal","NGDP_RPCH","NGDPD","PCPI","PCPIPCH","GGX_NGDP","GGXWDG_NGDP","BCA","GNI","Resource.Depletion","Adult.literacy","Primary.ed.enrollment","Mean.Schooling","Pop.MultiDim.Povert","Deprivation.Intensity","Pop.Below.National.Poverty","PPP.125.day","International.Dev.Aid","Voice.Accountability","Political.Stability","Government.Effectiveness","Rule.Law","Corruption.Control","Reg.Quality","Non.State.Conflict.Deaths","PIKE.regional","Definite.Possible","Elephant.range","Tot.Carcasses","Illegal.Carcasses","Percent.Illegal"
"1","Cameroon",2003,"CM","CMR","Central Africa","FC",3.5,11.35,0,0,0,3,0,0,2,-0.149748468821889,-0.248308215064899,-0.143283975795633,-0.491500819715337,-0.992321526696651,0.277426790305032,0.119616809319391,-0.316565834026695,0.926576285626529,0.287731330133346,0.918752127994126,-0.257595799592033,-0.282189061068652,0.351240219655206,-0.417698778836122,-0.833240347771766,0.362819832971291,-0.770320798201854,0.125524949135334,0.0794937969742481,-0.59810347438262,-0.383593902696189,-0.339504031450497,-0.234032680090493,0.42040745746052,0.0644385777652008,0.697082189073864,-0.294081706860015,-0.20915785468205,0.445995200284973
"3","Cameroon",2005,"CM","CMR","Central Africa","FC",3.5,11.35,0,0,0,3,0,0,2,-0.512293079396347,-0.222023550831988,-0.133382949350019,-0.392803231643125,-1.08575950862153,0.0852812826956384,0.0475092631111871,-0.264094622452398,-0.327264747219226,0.287731330133346,0.918752127994126,-0.0274795500744686,-0.282189061068652,0.351240219655206,-0.417698778836122,-0.833240347771766,-0.135261287562874,-0.631667016062152,0.446552535585384,-0.31159868011831,-0.742597842654521,-0.887139578996859,-0.38178474107517,-0.234032680090493,-0.278812211212862,0.494056703301545,-0.629703751445063,-0.477082569562519,-0.406761477592587,0.90474291556576
"4","Cameroon",2006,"CM","CMR","Central Africa","FC",3.5,11.35,0,0,0,3,0,0,1,-0.318894137769257,-0.210117574699705,-0.111284618067691,-0.181867007098478,-1.09274663274519,-0.700814583851711,0.236149747773517,-0.264094622452398,0.084490552838983,0.287731330133346,0.918752127994126,0.582697367503934,-0.282189061068652,0.351240219655206,-0.417698778836122,-0.833240347771766,1.67355889159804,-0.645532394276123,0.357993201392267,-0.396618783834083,-0.662323193614575,-0.668936452599902,-0.339504031450497,-0.234032680090493,-0.0759995714749679,-1.19105246208887,-0.137010163377722,-0.369435003266928,-0.466042564465749,-1.15148996716897
"5","Cameroon",2007,"CM","CMR","Central Africa","FC",3.5,11.35,0,0,0,3,0,0,1,-0.311576339977962,-0.188197555079959,-0.105966408092969,-0.455656868067689,-0.967688953514934,-0.786885725588686,0.236596234127748,-0.264094622452398,-0.218936486357138,0.287731330133346,0.918752127994126,0.262414145350011,-0.282189061068652,0.351240219655206,-0.417698778836122,-0.833240347771766,1.66962216719323,-0.687128528918033,0.269433867199149,-0.226578576402536,-0.726542912846531,-0.53465760558639,-0.339504031450497,-0.234032680090493,1.04501944851147,-0.507614946024894,0.22395523784674,-0.509376839451196,-0.485802926756802,-1.33852219583173
"7","Cameroon",2009,"CM","CMR","Central Africa","FC",3.5,11.35,0,0,0,3,0,0,1,-0.588607256362712,-0.161965688967368,-0.0651593738638508,-0.316987843006584,-0.744337833223028,-0.827949613020916,0.0140227865439096,-0.264094622452398,-0.241787409006569,0.287731330133346,0.918752127994126,0.068194144850435,-0.282189061068652,0.351240219655206,-0.417698778836122,-0.833240347771766,-0.241441583958205,-0.687128528918033,0.114455032361194,-0.209574555659382,-0.646268263806587,-0.484303037956323,-0.212661902576479,-0.234032680090493,0.471530499365471,-0.391339296883686,0.182126501744712,-0.369435003266928,-0.36724075301048,-0.216889640132986
"8","Cameroon",2010,"CM","CMR","Central Africa","FC",3.5,11.35,0,0,0,3,0,0,1,-0.309067380735232,-0.159985759455348,-0.0585237867845844,-0.444505416443976,-0.723731738349861,-0.796336588093207,0.027863863525051,-0.243302244890374,-0.422337774607754,0.287731330133346,0.918752127994126,0.0169726632812892,-0.282189061068652,0.351240219655206,-0.417698778836122,-0.833240347771766,-0.277246792445081,-0.714859285345973,-0.162292886992298,-0.31159868011831,-0.533883755150664,-0.585012173216457,-0.198568332701588,-0.234032680090493,0.886759815550122,0.58646422880988,-0.375871420884128,-0.46631781293296,-0.426521839883641,0.0635184987917006
"9","Cameroon",2011,"CM","CMR","Central Africa","FC",3.5,11.35,0,0,0,3,0,0,2,-0.126958755700427,-0.134070682064681,-0.043080523204141,-0.324229045359644,-0.384204876273035,-0.758489078110068,0.0120135979498729,-0.233723168891425,-0.399967650516335,0.287731330133346,0.918752127994126,0.150329303348562,-0.282189061068652,0.351240219655206,-0.417698778836122,-0.833240347771766,-0.281540532318217,-0.673263150704063,-0.08480346957332,-0.31159868011831,-0.549938684958653,-0.752860731983347,-0.283129751950933,-0.234032680090493,1.77446918937567,0.398562578266115,1.42602276553098,-0.46631781293296,-0.387001115301534,0.998118825827681
"14","Central Africa Republic",2004,"CF","CAF","Central Africa","FC",4.23,18.35,0,0,0,4,0,0,2,-0.442251300536806,-0.357186738852582,-0.31995130724072,-0.699612975342291,-1.20454061872374,1.23923379749587,0.168730308284732,-0.672148174848586,-1.08063843964988,-0.446795538687525,-0.367618207369197,-1.27119771999808,-0.622749867298955,0.579818686586877,1.17231406563908,0.910623160735695,-0.714637914437923,-1.01989760605332,-0.915047227633795,-1.46787209065283,-1.46506968401403,-1.17248212890057,-0.84687254694657,-0.234032680090493,0.56805145316794,-0.577435407996211,-0.660287459689057,-0.434023543044283,-0.327720028428373,1.15402575106981
"18","Central Africa Republic",2008,"CF","CAF","Central Africa","FC",4.23,18.35,0,0,0,4,0,0,2,-0.563099504061625,-0.350780566920356,-0.26437309091148,0.13355976740083,-0.872829861598806,0.715735322682524,0.129662752289575,-0.669432846218963,-0.678814715204168,-0.446795538687525,-0.367618207369197,-0.417063393538594,-0.622749867298955,0.579818686586877,1.17231406563908,0.910623160735695,-0.608913285494273,-0.617801637848182,-1.37998373214766,-1.19580775876235,-1.16002601766224,-0.585012173216457,-0.889153256571242,-0.234032680090493,1.03436987284179,-0.582573798979124,1.57761951208729,-0.154139870675746,0.00820613051954061,0.664433140507304
"20","Central Africa Republic",2010,"CF","CAF","Central Africa","FC",4.23,18.35,0,0,0,4,1,0,2,-0.355483126725734,-0.350771767233635,-0.248191998749379,-0.429154067455488,-0.613003584864743,-0.338465431230832,0.128546536403999,-0.654749958073592,-0.780259760070446,-0.446795538687525,-0.367618207369197,-0.427549470276286,-0.622749867298955,0.579818686586877,1.17231406563908,0.910623160735695,-0.626639322088351,-0.770320798201854,-1.57924223408218,-1.1788037380192,-0.9192020705424,-0.350024190942811,-0.790498267447006,-0.234032680090493,0.886759815550122,-1.44514114710515,0.408352085996661,-0.390964516526046,-0.327720028428373,0.387109491110789
